,Age,Price,Product description accuracy,Manufacturer sustainability,Packaging quality,Additional options,Helpfulness of reviews and ratings,Integrity of packaging,Ease check-out procedure,Relevance of related products,Costumer insurance,Shipping delay in days,Arrival delay in days,Male,Premium,Used,Home/Kitchen,Other,Sport,Technology,Satisfied
Age,0.9999999999999999,0.06850255872323277,0.07601848625912767,-0.006247982507976656,0.003933915225205441,0.04333321351654254,0.023487774307056272,-0.05220664395078151,0.032848519665508794,-0.05945012469048607,0.03112645873537285,-0.006328618870425242,-0.007341503631067012,-0.010076879829463111,0.35399820438822766,-0.004472579081630083,-0.004122004707616261,0.0014347602182138324,0.0013847042579785117,0.0011259865291328307,0.06800291508301382
Price,0.06850255872323277,0.9999999999999999,-0.019276603642422594,0.005268615417788513,0.05827144493769019,0.10282414979917873,0.13054111455854847,0.05737673049502984,0.0717397320818963,0.051370787447825986,0.09092408686580726,0.0007916403823131328,-0.004283456125927287,-0.008597516121686813,0.22139194550356184,0.00033766901801795006,0.00609551730425551,-0.00011407137460279919,-0.0026392630471061863,-0.00035491129581399566,0.2962643113692077
Product description accuracy,0.07601848625912767,-0.019276603642422594,1.0,0.43731055482398506,-0.002495717094696443,0.06766427727011565,0.009876690596098995,0.0758101742632598,0.09532740029181644,0.07366283922890347,0.010524975539669346,0.0033456189621560175,0.004921343667488979,-0.004894825018392273,0.2131798156726142,-0.0018087016673986867,0.004891996744319173,-0.004406699341279596,0.0069915513333342755,-0.004586203832486301,-0.052483789181535435
Manufacturer sustainability,-0.006247982507976656,0.005268615417788514,0.4373105548239851,1.0,-0.007678914587569557,-0.028669597771064117,-0.008536213776255495,0.003499294632456779,-0.03497750758093545,-0.0016263525301396793,-0.010219317928760461,0.009250414269508199,0.007654214176750799,-0.0011533445711363376,-0.007480594474528672,0.004911358400206679,0.002770521149729746,-0.0026379361867128054,-0.0026778120700775496,0.0014116767521757797,0.0002446433530357726
Packaging quality,0.003933915225205441,0.05827144493769019,-0.0024957170946964436,-0.007678914587569557,0.9999999999999998,0.06174930199406682,0.035868429753939904,0.03931747129731964,0.09404808363363641,0.039209117803103606,0.665676547937225,-0.023830780814415305,-0.02449846948324691,-0.004573185353146442,0.052861474904303506,-0.00024749261641882373,0.0017627665762075112,-0.001099059600168585,-0.002019860911679748,0.005076909665764308,0.21538825118855914
Additional options,0.04333321351654254,0.10282414979917873,0.06766427727011565,-0.028669597771064117,0.061749301994066814,1.0,0.34841282661487066,0.5189783203804131,0.24935660649983674,0.5469753410719725,0.12563265182059183,-0.026502708918719902,-0.028985208566928083,-0.007091042106890986,0.05388494544819435,-0.00391177159093926,-0.0007614271683759861,-0.00010192363115641308,0.006788602121070177,0.0010201676023609556,0.3174397741754854
Helpfulness of reviews and ratings,0.023487774307056272,0.1305411145585485,0.009876690596098995,-0.008536213776255495,0.035868429753939904,0.34841282661487066,0.9999999999999998,0.36605399415895606,0.15416614563002745,0.36126485145449044,0.09411921226455315,0.01625672823620239,0.015531846565741603,-0.03301612386852552,0.044766268116616305,-0.0059848768910394385,0.001987018505286358,0.001042226187753967,0.005057430416110067,-0.006890207820037338,0.3125720870900973
Integrity of packaging,-0.05220664395078151,0.057376730495029844,0.07581017426325978,0.0034992946324567784,0.03931747129731964,0.5189783203804131,0.36605399415895606,1.0,0.23961721132121794,0.6261556825627493,0.10099166546603933,-0.004986194069076746,-0.00542741250462313,-0.0395177002960482,-0.02175155436391309,0.005728567292433615,0.0007757489896915569,0.0011734314335058698,0.008015872359704745,-0.004298614267310152,0.24708553902951305
Ease check-out procedure,0.032848519665508794,0.07173973208189628,0.09532740029181642,-0.03497750758093545,0.09404808363363643,0.24935660649983674,0.15416614563002745,0.23961721132121794,1.0,0.2408592337367999,0.18530849112875375,-0.0148325848786769,-0.012196280697766076,-0.010459672732753141,0.03825416217379136,0.0010779666341126286,0.008030941149573914,-0.008331327224283713,0.000631360617934596,-0.004453013841106497,0.24153432201861696
Relevance of related products,-0.05945012469048607,0.051370787447825986,0.07366283922890347,-0.0016263525301396793,0.0392091178031036,0.5469753410719725,0.36126485145449044,0.6261556825627493,0.24085923373679988,0.9999999999999998,0.09446997611882918,-0.05067229971318486,-0.049509094867840386,-0.04067074930551319,-0.020710581718886067,0.0035030462732180885,0.003636185626944931,0.0009238362609922437,0.004469918958740719,-0.0021982153898099537,0.24553638445535783
