,Age,Price,Product description accuracy,Manufacturer sustainability,Packaging quality,Additional options,Helpfulness of reviews and ratings,Integrity of packaging,Ease check-out procedure,Relevance of related products,Costumer insurance,Shipping delay in days,Arrival delay in days,Male,Premium,Used,Home/Kitchen,Other,Sport,Technology
pc1,-0.01899235820265094,-0.10621479307019145,-0.0850896975429445,-0.004330633012753348,-0.15803306107465367,-0.46800164769878827,-0.3626310069608941,-0.4797784901378987,-0.29009706245167205,-0.4863620888117946,-0.2174055718665515,0.059231695843362436,0.059384136753192804,0.012643496626701216,-0.015515542501525955,-5.0681546884373675e-05,-0.0010952206757432858,0.00016370716807877447,-0.0014630094241203275,0.0012888047664205975
pc2,-0.010843809930437135,0.015944258537160715,0.03069259655588111,0.02594042549066225,-0.037900110238186874,0.03563847411092267,0.07281770535416017,0.06175180251198725,0.01883626811285999,0.021189571653822507,-0.0159639957116389,0.7018737132493674,0.7017811244864909,-0.0016524751914265311,-0.0001454137592341661,0.0008925375338890289,-0.0011823448143278167,-0.0008427579973549869,-0.000783979572843155,0.0016276802741018916
pc3,0.1170056916202942,0.0849016704038726,-0.07609775145465446,-0.0683142282076898,0.6652195662448686,-0.12220160046643382,-0.09856916891103674,-0.17885457906455487,0.08457961541095918,-0.18819732189510285,0.6494734219108793,0.04571447709178422,0.0463022103733832,0.0034744771956928635,0.029120482243855172,6.914559001095038e-05,0.00023280517330813495,-0.0007201458181366871,-0.0012149780625731424,0.0022413243659739775
pc4,-0.04849881266642416,0.005078167430463053,-0.6976118163170834,-0.6999408260640184,-0.04945337921682781,0.05270828586983704,0.07923356391126563,0.0384440554854384,-0.03065959614458175,0.043222321109256424,-0.048079456446297734,0.01857300970326626,0.018400970819303777,-0.00012740767291853633,-0.04748819072849594,-0.00036670464238166206,-0.0017570474990136167,0.0007041856657602026,-0.000427333114966996,0.0007462334696120251
pc5,-0.7322166106095133,-0.5897000069583195,-0.0010287774264095121,0.036305764333289386,0.1625263404495547,-0.04538945982958692,-0.14379249006972808,0.1285744194645115,-0.07879285875372567,0.13447973927819745,0.10460570173826773,0.005122109312771689,0.010762874160811266,0.0032658227263815624,-0.11710687246171746,0.0005188827883186463,-0.0018524406163018035,0.00031563579699321983,0.0008410089147509516,0.0020391294605240353
pc6,0.5947413043155866,-0.7652842208143236,0.03628951004664177,-0.09021126488396253,-0.026790755658819998,0.09295449126439141,-0.07701014282609872,0.00247437122527273,0.18829828788339653,0.004668505677805414,-0.0036798491397903115,0.010322500721415478,0.014331803944348135,-0.000321708517022447,0.00790975813689548,-0.0010318490992762203,-0.0013210767518544763,-0.00032472629817172587,0.0011077533413309483,-0.0015901084293585936
pc7,-0.1971538762630881,0.11387315500857723,0.10491228654542849,-0.1656415510382122,-0.14622479234724392,-0.07659106505178241,-0.32156593004104267,-0.08529127882938355,0.8726192427988761,-0.08139639403767267,-0.0595375024679124,0.0033603697109312997,0.007113232448774555,0.008424167021416587,0.0021318747940172883,0.0006306444882845846,0.003679240126767945,-0.0015120381536480446,-0.0005561764169194749,-0.0020124055540285714
pc8,0.1229819408270898,0.1661129444717198,0.037280399092346116,-0.08277042927697102,0.039244987828704704,0.28093130068217453,-0.8372103309750794,0.2148367025091138,-0.24885143545891691,0.23989608339929755,-0.006326222164310912,0.028726358073579584,0.025938564269703313,0.008222594518954091,0.01931562308765709,0.0020613686794441854,-0.002151532493335434,0.00014933021189112515,-0.0004436496691141944,0.0061355159585718124
pc9,0.08743041588813938,0.0055877171834245705,-0.6774996183791655,0.6624515300299145,-0.028321135835606498,-0.09010112610825885,-0.12116875263801354,0.10682099683115345,0.1873810535205083,0.08120341567270634,0.0016120205654981423,0.004257811276951325,0.0008268894045926054,-0.002583348080807064,-0.13290791365744045,0.0031220573495002145,-0.0006466897313601532,-0.00023490554950942745,-0.00504018033580421,0.005492641779440769
pc10,-0.15012896734040532,-0.042075702903608736,-0.10219454405565813,0.13301120780990922,-0.015380085118826962,0.7995774847459464,0.016563145201685395,-0.481122976590404,0.00953064530182522,-0.269690334276406,-0.008892133278721327,0.004821543708800986,0.0003344588368072847,0.05570711061760901,-0.009167166241892068,-0.003138096888992487,-0.004691727604692068,-0.00036329401383597843,-0.0010349301491325365,0.009713069734476597
